                  1         2         3         4         5         6         7         8         9
  1.82E-03  6.59E-07  1.19E-06  4.68E-07  7.52E-07  3.34E-07  2.17E-04  1.13E-03  6.36E-04  4.69E-03
  2.18E-03  6.59E-07  1.19E-06  4.68E-07  7.52E-07  3.34E-07  2.18E-04  1.13E-03  6.37E-04  4.67E-03
  2.60E-03  6.58E-07  1.19E-06  4.67E-07  7.51E-07  3.34E-07  2.19E-04  1.12E-03  6.37E-04  4.65E-03
  3.09E-03  6.58E-07  1.19E-06  4.67E-07  7.51E-07  3.34E-07  2.20E-04  1.12E-03  6.37E-04  4.63E-03
  3.67E-03  6.58E-07  1.19E-06  4.67E-07  7.51E-07  3.34E-07  2.21E-04  1.11E-03  6.38E-04  4.61E-03
  4.36E-03  6.57E-07  1.19E-06  4.67E-07  7.51E-07  3.33E-07  2.21E-04  1.11E-03  6.39E-04  4.58E-03
  5.16E-03  6.57E-07  1.19E-06  4.67E-07  7.50E-07  3.33E-07  2.22E-04  1.11E-03  6.39E-04  4.55E-03
  6.10E-03  6.56E-07  1.19E-06  4.66E-07  7.50E-07  3.33E-07  2.23E-04  1.10E-03  6.40E-04  4.52E-03
  7.21E-03  6.55E-07  1.19E-06  4.66E-07  7.49E-07  3.33E-07  2.24E-04  1.10E-03  6.41E-04  4.49E-03
  8.49E-03  6.54E-07  1.19E-06  4.66E-07  7.49E-07  3.33E-07  2.25E-04  1.09E-03  6.42E-04  4.45E-03
  9.99E-03  6.54E-07  1.18E-06  4.65E-07  7.48E-07  3.33E-07  1.10E-04  4.97E-04  3.00E-04  2.00E-03
  1.17E-02  6.53E-07  1.18E-06  4.65E-07  7.47E-07  3.33E-07  1.10E-04  4.87E-04  2.99E-04  1.94E-03
  1.38E-02  6.51E-07  1.18E-06  4.64E-07  7.47E-07  3.32E-07  1.10E-04  4.77E-04  2.98E-04  1.89E-03
  1.61E-02  6.50E-07  1.18E-06  4.63E-07  7.47E-07  3.32E-07  1.11E-04  4.67E-04  2.98E-04  1.83E-03
  1.88E-02  6.48E-07  1.18E-06  4.63E-07  7.47E-07  3.32E-07  1.11E-04  4.58E-04  2.97E-04  1.78E-03
  2.20E-02  6.47E-07  1.18E-06  4.62E-07  7.47E-07  3.31E-07  1.12E-04  4.48E-04  2.97E-04  1.72E-03
  2.56E-02  6.45E-07  1.18E-06  4.61E-07  7.47E-07  3.31E-07  1.13E-04  4.39E-04  2.97E-04  1.66E-03
  2.98E-02  6.43E-07  1.18E-06  4.60E-07  7.46E-07  3.30E-07  1.13E-04  4.30E-04  2.97E-04  1.60E-03
  3.46E-02  6.40E-07  1.18E-06  4.59E-07  7.46E-07  3.30E-07  1.14E-04  4.21E-04  2.97E-04  1.54E-03
  4.00E-02  6.38E-07  1.17E-06  4.57E-07  7.46E-07  3.29E-07  1.15E-04  4.12E-04  2.97E-04  1.48E-03
  4.63E-02  6.35E-07  1.17E-06  4.56E-07  7.46E-07  3.29E-07  1.16E-04  4.04E-04  2.97E-04  1.42E-03
  5.35E-02  6.32E-07  1.17E-06  4.55E-07  7.47E-07  3.28E-07  1.17E-04  3.95E-04  2.97E-04  1.35E-03
  6.17E-02  6.29E-07  1.17E-06  4.53E-07  7.47E-07  3.27E-07  1.18E-04  3.87E-04  2.98E-04  1.29E-03
  7.11E-02  6.25E-07  1.17E-06  4.51E-07  7.47E-07  3.27E-07  1.19E-04  3.79E-04  2.98E-04  1.23E-03
  8.17E-02  6.21E-07  1.16E-06  4.49E-07  7.48E-07  3.26E-07  1.20E-04  3.70E-04  2.99E-04  1.16E-03
  9.37E-02  6.16E-07  1.16E-06  4.47E-07  7.49E-07  3.25E-07  1.21E-04  3.62E-04  2.99E-04  1.10E-03
  1.07E-01  6.11E-07  1.16E-06  4.45E-07  7.49E-07  3.24E-07  1.18E-04  3.47E-04  2.93E-04  1.01E-03
  1.23E-01  6.05E-07  1.15E-06  4.42E-07  7.49E-07  3.22E-07  1.15E-04  3.33E-04  2.87E-04  9.35E-04
  1.40E-01  5.99E-07  1.15E-06  4.39E-07  7.49E-07  3.21E-07  1.12E-04  3.19E-04  2.81E-04  8.66E-04
  1.60E-01  5.92E-07  1.14E-06  4.35E-07  7.49E-07  3.19E-07  1.09E-04  3.06E-04  2.76E-04  8.03E-04
  1.82E-01  5.85E-07  1.14E-06  4.31E-07  7.48E-07  3.18E-07  1.07E-04  2.94E-04  2.71E-04  7.48E-04
  2.07E-01  5.76E-07  1.13E-06  4.27E-07  7.49E-07  3.16E-07  1.05E-04  2.82E-04  2.67E-04  7.01E-04
  2.34E-01  5.67E-07  1.12E-06  4.23E-07  7.49E-07  3.14E-07  1.03E-04  2.71E-04  2.63E-04  6.61E-04
  2.65E-01  5.58E-07  1.11E-06  4.18E-07  7.49E-07  3.12E-07  1.01E-04  2.61E-04  2.59E-04  6.29E-04
  3.00E-01  5.48E-07  1.11E-06  4.12E-07  7.49E-07  3.09E-07  9.93E-05  2.51E-04  2.56E-04  6.02E-04
  3.38E-01  5.36E-07  1.10E-06  4.07E-07  7.48E-07  3.06E-07  9.78E-05  2.43E-04  2.53E-04  5.83E-04
  3.81E-01  5.25E-07  1.09E-06  4.00E-07  7.48E-07  3.04E-07  9.63E-05  2.34E-04  2.50E-04  5.68E-04
  4.29E-01  5.12E-07  1.07E-06  3.94E-07  7.47E-07  3.00E-07  9.50E-05  2.27E-04  2.48E-04  5.59E-04
  4.81E-01  4.99E-07  1.06E-06  3.87E-07  7.46E-07  2.97E-07  9.38E-05  2.19E-04  2.45E-04  5.53E-04
  5.40E-01  4.86E-07  1.05E-06  3.79E-07  7.44E-07  2.93E-07  9.27E-05  2.13E-04  2.43E-04  5.51E-04
  6.04E-01  4.71E-07  1.03E-06  3.71E-07  7.42E-07  2.89E-07  9.16E-05  2.07E-04  2.41E-04  5.50E-04
  6.75E-01  4.57E-07  1.03E-06  3.63E-07  7.45E-07  2.85E-07  9.06E-05  2.01E-04  2.39E-04  5.51E-04
  7.52E-01  4.41E-07  1.02E-06  3.54E-07  7.48E-07  2.81E-07  8.95E-05  1.96E-04  2.37E-04  5.51E-04
  8.38E-01  4.26E-07  1.01E-06  3.45E-07  7.52E-07  2.76E-07  8.85E-05  1.91E-04  2.36E-04  5.50E-04
  9.31E-01  4.11E-07  9.98E-07  3.35E-07  7.55E-07  2.71E-07  8.74E-05  1.86E-04  2.34E-04  5.47E-04
  1.03E+00  3.95E-07  9.82E-07  3.26E-07  7.52E-07  2.66E-07  8.45E-05  1.75E-04  2.26E-04  5.19E-04
  1.15E+00  3.80E-07  9.63E-07  3.16E-07  7.46E-07  2.61E-07  8.11E-05  1.62E-04  2.17E-04  4.88E-04
  1.27E+00  3.65E-07  9.43E-07  3.06E-07  7.41E-07  2.55E-07  7.77E-05  1.50E-04  2.09E-04  4.59E-04
  1.40E+00  3.50E-07  9.22E-07  2.97E-07  7.34E-07  2.50E-07  7.44E-05  1.39E-04  2.00E-04  4.32E-04
  1.54E+00  3.36E-07  9.02E-07  2.88E-07  7.27E-07  2.46E-07  7.10E-05  1.28E-04  1.92E-04  4.07E-04
  1.70E+00  3.23E-07  8.83E-07  2.80E-07  7.21E-07  2.42E-07  6.77E-05  1.18E-04  1.84E-04  3.83E-04
  1.86E+00  3.12E-07  8.67E-07  2.73E-07  7.18E-07  2.40E-07  6.44E-05  1.09E-04  1.76E-04  3.62E-04
  2.04E+00  3.04E-07  8.56E-07  2.69E-07  7.18E-07  2.41E-07  6.12E-05  1.01E-04  1.68E-04  3.42E-04
  2.24E+00  2.99E-07  8.54E-07  2.70E-07  7.33E-07  2.48E-07  5.80E-05  9.28E-05  1.60E-04  3.23E-04
  2.45E+00  3.01E-07  8.69E-07  2.79E-07  7.62E-07  2.64E-07  5.50E-05  8.56E-05  1.52E-04  3.05E-04
  2.67E+00  3.14E-07  9.15E-07  3.03E-07  8.22E-07  2.98E-07  5.21E-05  7.89E-05  1.45E-04  2.89E-04
  2.91E+00  3.45E-07  1.00E-06  3.49E-07  9.30E-07  3.61E-07  4.95E-05  7.30E-05  1.38E-04  2.73E-04
  3.17E+00  3.88E-07  1.14E-06  4.11E-07  1.09E-06  4.44E-07  4.81E-05  6.83E-05  1.34E-04  2.62E-04
