  i  Z(km)      P(bar)      T(K)  
 77 6.3716E+05 3.7102E+05 1.9999E+02
 78 6.0791E+05 4.1014E+05 1.9999E+02
 79 5.7919E+05 4.5257E+05 1.9999E+02
 80 5.5100E+05 4.9851E+05 1.9999E+02
 81 5.2334E+05 5.4813E+05 1.9993E+02
 82 4.9612E+05 6.0163E+05 2.0114E+02
 83 4.6910E+05 6.5916E+05 2.0507E+02
 84 4.4199E+05 7.2092E+05 2.1043E+02
 85 4.1475E+05 7.8707E+05 2.1580E+02
 86 3.8740E+05 8.5775E+05 2.2118E+02
 87 3.5996E+05 9.3312E+05 2.2655E+02
 88 3.3247E+05 1.0133E+06 2.3189E+02
 89 3.0496E+05 1.0984E+06 2.3717E+02
 90 2.7746E+05 1.1886E+06 2.4237E+02
 91 2.5001E+05 1.2838E+06 2.4745E+02
 92 2.2266E+05 1.3843E+06 2.5237E+02
 93 1.9544E+05 1.4899E+06 2.5710E+02
 94 1.6841E+05 1.6008E+06 2.6161E+02
 95 1.4161E+05 1.7168E+06 2.6588E+02
 96 1.1508E+05 1.8380E+06 2.6989E+02
 97 8.8877E+04 1.9643E+06 2.7380E+02
 98 6.3013E+04 2.0954E+06 2.7761E+02
 99 3.7530E+04 2.2314E+06 2.8119E+02
100 1.2462E+04 2.3720E+06 2.8462E+02
  i  qc(g/g)   qt(g/g)   clima_qt(g/g)  
  1 0.0000E+00 2.1080E-06 3.2925E-06
  2 0.0000E+00 2.1080E-06 3.2925E-06
  3 0.0000E+00 2.1080E-06 3.2925E-06
  4 0.0000E+00 2.1080E-06 3.2925E-06
  5 0.0000E+00 2.1080E-06 3.2925E-06
  6 0.0000E+00 2.1080E-06 3.2925E-06
  7 0.0000E+00 2.1080E-06 3.2925E-06
  8 0.0000E+00 2.1080E-06 3.2925E-06
  9 0.0000E+00 2.1080E-06 3.2925E-06
 10 0.0000E+00 2.1080E-06 3.2925E-06
 11 0.0000E+00 2.1080E-06 3.2925E-06
 12 0.0000E+00 2.1080E-06 3.2925E-06
 13 0.0000E+00 2.1080E-06 3.2925E-06
 14 0.0000E+00 2.1080E-06 3.2925E-06
 15 0.0000E+00 2.1080E-06 3.2925E-06
 16 0.0000E+00 2.1080E-06 3.2925E-06
 17 0.0000E+00 2.1080E-06 3.2925E-06
 18 0.0000E+00 2.1080E-06 3.2925E-06
 19 0.0000E+00 2.1080E-06 3.2925E-06
 20 0.0000E+00 2.1080E-06 3.2925E-06
 21 0.0000E+00 2.1080E-06 3.2925E-06
 22 0.0000E+00 2.1080E-06 3.2925E-06
 23 0.0000E+00 2.1080E-06 3.2925E-06
 24 0.0000E+00 2.1080E-06 3.2925E-06
 25 0.0000E+00 2.1080E-06 3.2925E-06
 26 0.0000E+00 2.1080E-06 3.2925E-06
 27 0.0000E+00 2.1080E-06 3.2925E-06
 28 0.0000E+00 2.1080E-06 3.2925E-06
 29 0.0000E+00 2.1080E-06 3.2925E-06
 30 0.0000E+00 2.1080E-06 3.2925E-06
 31 0.0000E+00 2.1080E-06 3.2925E-06
 32 0.0000E+00 2.1080E-06 3.2925E-06
 33 0.0000E+00 2.1080E-06 3.2925E-06
 34 0.0000E+00 2.1080E-06 3.2925E-06
 35 0.0000E+00 2.1080E-06 3.2925E-06
 36 0.0000E+00 2.1080E-06 3.2925E-06
 37 0.0000E+00 2.1080E-06 3.2925E-06
 38 0.0000E+00 2.1080E-06 3.2925E-06
 39 0.0000E+00 2.1080E-06 3.2925E-06
 40 0.0000E+00 2.1080E-06 3.2925E-06
 41 0.0000E+00 2.1080E-06 3.2925E-06
 42 0.0000E+00 2.1080E-06 3.2925E-06
 43 0.0000E+00 2.1080E-06 3.2925E-06
 44 0.0000E+00 2.1080E-06 3.2925E-06
 45 0.0000E+00 2.1080E-06 3.2925E-06
 46 0.0000E+00 2.1080E-06 3.2925E-06
 47 0.0000E+00 2.1080E-06 3.2925E-06
 48 0.0000E+00 2.1080E-06 3.2925E-06
 49 0.0000E+00 2.1080E-06 3.2925E-06
 50 0.0000E+00 2.1080E-06 3.2925E-06
 51 0.0000E+00 2.1080E-06 3.2925E-06
 52 0.0000E+00 2.1080E-06 3.2925E-06
 53 0.0000E+00 2.1080E-06 3.2925E-06
 54 0.0000E+00 2.1080E-06 3.2925E-06
 55 0.0000E+00 2.1080E-06 3.2925E-06
 56 0.0000E+00 2.1080E-06 3.2925E-06
 57 0.0000E+00 2.1080E-06 3.2925E-06
 58 0.0000E+00 2.1080E-06 3.2925E-06
 59 0.0000E+00 2.1080E-06 3.2925E-06
 60 0.0000E+00 2.1080E-06 3.2925E-06
 61 0.0000E+00 2.1080E-06 3.2925E-06
 62 0.0000E+00 2.1080E-06 3.2925E-06
 63 0.0000E+00 2.1080E-06 3.2925E-06
