  i  P(bar) chf(erg/s/cm**2) kzz(cm**-2)  
 41 3.6223E-03 1.6330E+03 2.8401E+07
 42 4.2615E-03 1.6330E+03 2.6672E+07
 43 5.0046E-03 1.6330E+03 2.5056E+07
 44 5.8668E-03 1.6330E+03 2.3543E+07
 45 6.8653E-03 1.6330E+03 2.2128E+07
 46 8.0194E-03 1.6330E+03 2.0802E+07
 47 9.3510E-03 1.6330E+03 1.9561E+07
 48 1.0884E-02 1.6330E+03 1.8398E+07
 49 1.2646E-02 1.6330E+03 1.7310E+07
 50 1.4668E-02 1.6330E+03 1.6289E+07
 51 1.6982E-02 1.6330E+03 1.5333E+07
 52 1.9626E-02 1.6330E+03 1.4437E+07
 53 2.2642E-02 1.6330E+03 1.3595E+07
 54 2.6074E-02 1.6330E+03 1.2806E+07
 55 2.9974E-02 1.6442E+03 1.2091E+07
 56 3.4396E-02 1.8722E+03 1.1895E+07
 57 3.9399E-02 2.1216E+03 1.1685E+07
 58 4.5051E-02 2.3974E+03 1.1468E+07
 59 5.1421E-02 2.7047E+03 1.1250E+07
 60 5.8588E-02 3.0478E+03 1.1032E+07
 61 6.6635E-02 3.4285E+03 1.0812E+07
 62 7.5653E-02 3.8443E+03 1.0585E+07
 63 8.5738E-02 4.2881E+03 1.0343E+07
 64 9.6996E-02 4.7504E+03 1.0083E+07
 65 1.0954E-01 5.2200E+03 9.8020E+06
 66 1.2348E-01 5.6851E+03 9.4982E+06
 67 1.3895E-01 6.1503E+03 9.1810E+06
 68 1.5607E-01 6.6233E+03 8.8580E+06
 69 1.7500E-01 7.1112E+03 8.5348E+06
 70 1.9588E-01 7.6170E+03 8.2135E+06
 71 2.1885E-01 8.1394E+03 7.8943E+06
 72 2.4409E-01 8.6735E+03 7.5763E+06
 73 2.7175E-01 9.2129E+03 7.2589E+06
 74 3.0201E-01 9.7518E+03 6.9420E+06
 75 3.3504E-01 1.0286E+04 6.6260E+06
 76 3.7102E-01 1.0812E+04 6.3118E+06
 77 4.1014E-01 1.1330E+04 6.0007E+06
 78 4.5257E-01 1.1838E+04 5.6936E+06
 79 4.9851E-01 1.2335E+04 5.3915E+06
 80 5.4813E-01 1.2813E+04 5.0942E+06
 81 6.0163E-01 1.3213E+04 4.7963E+06
 82 6.5916E-01 4.2657E+04 6.5996E+06
 83 7.2092E-01 4.1487E+04 6.0930E+06
 84 7.8707E-01 4.1412E+04 5.6826E+06
 85 8.5775E-01 4.2185E+04 5.3203E+06
 86 9.3312E-01 4.3619E+04 4.9748E+06
 87 1.0133E+00 4.5593E+04 4.6353E+06
 88 1.0984E+00 4.8071E+04 4.2965E+06
 89 1.1886E+00 5.0784E+04 3.9476E+06
 90 1.2838E+00 5.3518E+04 3.5843E+06
 91 1.3843E+00 5.6246E+04 3.2092E+06
 92 1.4899E+00 5.9179E+04 2.8292E+06
 93 1.6008E+00 6.2194E+04 2.4449E+06
 94 1.7168E+00 6.5154E+04 2.0588E+06
 95 1.8380E+00 6.7824E+04 1.6741E+06
 96 1.9643E+00 7.0134E+04 1.2976E+06
 97 2.0954E+00 7.2057E+04 1.2460E+06
 98 2.2314E+00 7.3572E+04 1.2505E+06
 99 2.3720E+00 7.4379E+04 1.2502E+06
100 2.5169E+00 7.7788E+04 3.3043E+10
 
