 NST=     1

  J  FUPIR_clear  FUPSOLTOT_clear  FDNIR_clear  FDNSOLTOT_clear  FUPIR_cloudy  FUPSOLTOT_cloudy  FDNIR_cloudy  FDNSOLTOT_cloudy
  7   2.451E+05   4.418E+04   1.682E+01   3.418E+05   9.022E+04   3.136E+05   1.693E+01   3.418E+05
  8   2.451E+05   4.417E+04   2.053E+01   3.418E+05   9.022E+04   3.136E+05   2.052E+01   3.418E+05
  9   2.451E+05   4.417E+04   2.454E+01   3.418E+05   9.022E+04   3.136E+05   2.455E+01   3.418E+05
 10   2.451E+05   4.417E+04   2.928E+01   3.418E+05   9.022E+04   3.136E+05   2.928E+01   3.418E+05
 11   2.451E+05   4.417E+04   3.458E+01   3.418E+05   9.022E+04   3.136E+05   3.457E+01   3.418E+05
 12   2.451E+05   4.417E+04   4.040E+01   3.418E+05   9.022E+04   3.136E+05   4.040E+01   3.418E+05
 13   2.451E+05   4.417E+04   4.669E+01   3.418E+05   9.023E+04   3.136E+05   4.669E+01   3.418E+05
 14   2.451E+05   4.417E+04   5.336E+01   3.418E+05   9.023E+04   3.136E+05   5.336E+01   3.418E+05
 15   2.451E+05   4.417E+04   6.026E+01   3.417E+05   9.023E+04   3.136E+05   6.025E+01   3.417E+05
 16   2.451E+05   4.417E+04   6.712E+01   3.417E+05   9.023E+04   3.136E+05   6.711E+01   3.417E+05
 17   2.451E+05   4.417E+04   7.366E+01   3.417E+05   9.023E+04   3.136E+05   7.365E+01   3.417E+05
 18   2.451E+05   4.417E+04   7.964E+01   3.417E+05   9.023E+04   3.136E+05   7.964E+01   3.417E+05
 19   2.451E+05   4.417E+04   8.493E+01   3.417E+05   9.023E+04   3.136E+05   8.493E+01   3.417E+05
 20   2.451E+05   4.417E+04   8.951E+01   3.417E+05   9.023E+04   3.136E+05   8.951E+01   3.417E+05
 21   2.451E+05   4.417E+04   9.352E+01   3.417E+05   9.023E+04   3.136E+05   9.352E+01   3.417E+05
 22   2.451E+05   4.417E+04   9.722E+01   3.417E+05   9.023E+04   3.136E+05   9.721E+01   3.417E+05
